endToEndDelay:vector projectphase3.H2.app[1] (#0 - Exp2DropTailWithPolicingAndShaping-0-20250330-01:11:38-15176),
2.382876002,0.790031386
2.620126002,0.987281386
2.869126002,1.196281386
3.106376002,1.393531386
3.343626002,1.590781386
3.580876002,1.788031386
3.818126002,1.985281386
4.055376002,2.182531386
5.509126002,3.356281386
5.910376002,3.637531386
6.445376002,4.012531386
7.247876002,4.575031386
7.782876002,4.950031386
9.400626002,6.207781386
9.801876002,6.489031386
14.948126,10.11528139
17.139876,10.02703139
19.581626,9.948781386
19.982876,10.11003139
20.858626,10.26578139
21.259876,10.42703139
22.17624853,5.583403913
23.12524853,6.452403913
24.068626,11.55578139
25.004876,11.97203139
27.49374853,10.42090391
28.77918336,0.86633874
29.09874853,11.78590391
29.90124853,12.46840391
31.01018336,2.57733874
31.64868336,3.05583874
32.04124853,14.28840391
32.50293336,3.71008874
33.37874853,15.42590391
34.07768336,4.92483874
34.44874853,16.33590391
35.11743336,5.72458874
35.51868336,6.04583874
36.05374853,17.70090391
36.52824853,18.13540391
37.46443336,17.55158874
38.89393336,8.66108874
39.37524853,20.74240391
42.66443336,21.99158874
43.19943336,11.60658874
44.44618336,11.29333874
44.84743336,11.29458874
46.62918336,20.95633874
47.50493336,21.11208874
47.90618336,21.27333874
48.49293336,11.14008874
49.02793336,11.23508874
50.03743336,11.00458874
50.75793336,11.00508874
51.15918336,11.08633874
51.69418336,11.34133874
52.49668336,11.58383874
53.74343336,11.75058874
54.51568336,11.56283874
55.49493336,11.58208874
56.97893336,11.34608874
57.93668336,11.42383874
58.33793336,11.50508874
58.73918336,11.50633874
59.27418336,11.48133874
60.07668336,11.56383874
60.47793336,11.64508874
61.01293336,11.90008874
61.59968336,11.88683874
62.01968336,11.78683874
62.55468336,11.80183874
63.29668336,11.46383874
64.06893336,11.55608874
65.55303907,11.28019446
66.08793336,11.61508874
66.48918336,11.77633874
67.34343336,11.95058874
67.87843336,12.12558874
68.27968336,12.28683874
68.68093336,12.36808874
69.08218336,12.44933874
70.12193336,12.44908874
70.66853907,12.43569446
71.05818336,12.42533874
71.59318336,12.44033874
72.58118336,12.34833874
73.32318336,12.13033874
73.98318336,11.91033874
74.91943336,12.16658874
75.32068336,12.24783874
75.72193336,12.32908874
76.12318336,12.33033874
76.57618336,12.30333874
77.11118336,12.63833874
77.91368336,12.88083874
79.41918336,12.06633874
79.82043336,12.06758874
80.22168336,12.06883874
81.58068336,11.98783874
82.59018336,11.63733874
83.12518336,11.65233874
83.68168336,11.56883874
85.46343336,11.75058874
86.33918336,11.42633874
87.19343336,11.40058874
87.72843336,11.41558874
88.12968336,11.41683874
88.68618336,11.25333874
89.62243336,11.66958874
90.02368336,11.83083874
91.00293336,11.57008874
91.40418336,11.57133874
92.00968336,11.45683874
93.51518336,11.04233874
93.91643336,11.20358874
94.79218336,11.03933874
95.19343336,11.12058874
96.96643336,10.97358874
97.36768336,10.97483874
97.76893336,10.97608874
98.22193336,10.86908874
98.75693336,11.04408874
99.74493336,11.03208874
101.2719334,10.39908874
101.9104334,10.43758874
102.3116834,10.51883874
103.2909334,10.73808874
103.6921834,10.81933874
104.4644334,10.83158874
104.8656834,10.99283874
