endToEndDelay:vector projectphase3.H2.app[1] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20250330-01:17:59-13444),
2.382876002,0.790031386
2.620126002,0.987281386
2.869126002,1.196281386
3.106376002,1.393531386
3.343626002,1.590781386
3.580876002,1.788031386
3.818126002,1.985281386
4.055376002,2.182531386
4.292626002,2.379781386
4.529876002,2.577031386
4.767126002,2.774281386
5.004376002,2.971531386
5.241626002,3.168781386
5.375376002,3.262531386
5.509126002,3.356281386
5.642876002,3.450031386
5.776626002,3.543781386
5.910376002,3.637531386
6.044126002,3.731281386
6.177876002,3.825031386
6.311626002,3.918781386
6.445376002,4.012531386
6.579126002,4.106281386
6.712876002,4.200031386
6.846626002,4.293781386
6.980376002,4.387531386
7.114126002,4.481281386
7.247876002,4.575031386
7.381626002,4.668781386
7.515376002,4.762531386
7.649126002,4.856281386
7.782876002,4.950031386
7.916626002,5.043781386
8.050376002,5.137531386
8.235876002,5.283031386
8.473126002,5.480281386
8.710376002,5.677531386
8.947626002,5.874781386
9.133126002,6.020281386
9.266876002,6.114031386
9.400626002,6.207781386
9.534376002,6.301531386
9.668126002,6.395281386
9.801876002,6.489031386
9.935626002,6.582781386
10.172876,6.780031386
10.493126,7.060281386
10.939376,7.466531386
11.265876,7.753031386
11.627126,8.074281386
11.864376,8.271531386
12.101626,8.468781386
12.338876,8.666031386
12.576126,8.863281386
12.813376,9.060531386
13.050626,9.257781386
13.287876,9.455031386
13.525126,9.652281386
13.762376,9.849531386
13.999626,10.04678139
14.236876,10.24403139
14.474126,10.44128139
14.763126,10.53028139
15.000376,10.52753139
15.134126,10.62128139
15.319626,10.60678139
15.485126,10.65228139
15.805376,10.69253139
16.014626,10.78178139
16.166126,10.77328139
16.331626,10.81878139
16.483126,10.85028139
16.616876,10.82403139
16.814126,10.90128139
16.983376,10.91053139
17.117126,10.92428139
17.250876,10.93803139
17.384626,10.91178139
17.518376,10.92553139
17.652126,10.93928139
17.785876,10.91303139
17.971376,10.97853139
18.105126,10.99228139
18.238876,10.96603139
18.372626,2.179781386
18.558126,11.16528139
18.743626,11.23078139
18.877376,11.28453139
19.114626,2.881781386
19.507126,11.47428139
19.744376,3.471531386
19.878126,11.60528139
20.115376,3.802531386
20.249126,11.65628139
20.505126,11.51228139
20.638876,4.286031386
20.862876,11.71003139
20.996626,11.72378139
21.130376,4.737531386
21.264126,11.87128139
21.397876,11.92503139
21.531626,5.098781386
21.665376,12.15253139
21.799126,12.16628139
21.932876,5.460031386
22.066626,12.35378139
22.200376,12.44753139
22.334126,5.821281386
22.467876,12.59503139
22.808626,12.69578139
23.045876,6.493031386
23.179626,12.82678139
23.416876,13.02403139
23.550626,13.07778139
23.684376,13.09153139
23.818126,7.225281386
24.003626,13.37078139
24.189126,13.47628139
24.322876,13.49003139
24.456626,7.823781386
24.590376,13.71753139
24.827626,13.87478139
24.961376,13.88853139
25.095126,13.98228139
25.228876,8.556031386
25.414376,14.22153139
25.599876,14.28703139
25.733626,14.38078139
25.867376,9.154531386
26.001126,14.60828139
26.238376,14.68553139
26.372126,14.77928139
26.505876,14.87303139
26.639626,9.886781386
26.825126,15.03228139
27.010626,15.17778139
27.144376,15.27153139
