endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp2DropTailWithPolicingAndShaping-0-20250330-01:11:38-15176),
283.5641571,10.66162054
283.6891571,10.60662054
284.4701571,10.96222028
286.3036571,11.34536054
286.4286571,11.0955113
291.9036571,11.91195797
292.7881571,12.02741797
292.8399071,11.67916797
293.0684071,11.49913542
294.4879071,11.56037312
294.5396571,11.47212312
300.4891571,12.07549912
301.3131571,11.83527606
301.5504071,11.67252606
302.3314071,11.69867235
302.4261571,11.42126588
302.6634071,11.24797246
303.4874071,11.41867705
304.7126571,11.74973675
305.0016571,11.492509
305.0534071,11.424259
307.1719071,2.8782889
307.3546571,3.0410389
313.6664071,8.437834994
313.9211571,8.672584994
313.9944071,8.725834994
314.6846571,9.376084994
314.8701571,9.541584994
314.9434071,9.594834994
315.8191571,10.41058499
315.8924071,10.46383499
316.3669071,10.89833499
316.6726571,0.591936872
316.9616571,0.820936872
317.1471571,0.986436872
317.6216571,1.380936872
317.6734071,1.412686872
317.9926571,1.711936872
318.4671571,2.106436872
318.7044071,2.303686872
319.0754071,2.634686872
319.1271571,2.666436872
319.5499071,3.029186872
319.9726571,3.391936872
320.1649921,3.564271879
320.3954071,3.754686872
320.6326571,3.951936872
322.0434071,5.086059157
322.4144071,5.417059157
322.4839071,5.466559157
322.9066571,5.829309157
322.9584071,5.861059157
323.2776571,6.160309157
323.3294071,6.192059157
323.6486571,6.431882644
323.9679071,6.731132644
324.2051571,6.928382644
324.4424071,7.125632644
324.4941571,7.157382644
324.6796571,7.322882644
324.8651571,7.488382644
325.0506571,7.653882644
325.2879071,7.851132644
325.5251571,8.048382644
325.8961571,8.379382644
325.9479071,8.411132644
326.1851571,8.628382644
326.4224071,8.825632644
326.4741571,8.857382644
326.6596571,8.922882644
328.6269071,9.331486482
328.8641571,9.328736482
328.9159071,9.340486482
329.2351571,9.326462131
332.0616571,9.850286975
332.1134071,9.882036975
332.2599071,9.748536975
334.0504071,10.2354355
334.4819071,10.4269355
334.6069071,10.3119355
334.8441571,10.2291855
336.0264071,10.7631623
338.4251571,11.11369188
339.2491571,11.20189541
339.3741571,11.14268474
339.6631571,11.06015847
339.7666571,11.06365847
343.3751571,11.52539088
343.4269071,11.53714088
343.6036571,11.55389088
346.0414071,11.82956305
346.0931571,11.70131305
346.1879071,11.55606305
348.5954071,11.97048419
349.3589071,11.39606656
349.4106571,11.30781656
349.5961571,11.39331656
349.8334071,11.3026253
350.1741571,11.06645605
350.4329071,10.98520605
351.2656571,11.04426996
351.8711571,10.96399263
358.0149071,11.66222825
360.2711571,11.29816444
360.3416571,11.24866444
360.5084071,11.29541444
360.8794071,11.30641444
365.4786571,12.64637228
365.6641571,12.57187228
367.3726571,12.41348983
367.4244071,12.32523983
370.4406509,12.19305027
370.6169071,11.82608518
372.5196571,12.26674623
372.6446571,12.15365295
372.6964071,12.08540295
374.4654071,12.04844872
374.6421571,11.82519872
376.1436571,11.86941722
376.2686571,11.59020285
376.5879071,11.49591676
376.6396571,11.42766676
376.6914071,11.41941676
377.6061571,11.75068406
377.6579071,11.52243406
377.9381571,11.08268406
377.9899071,11.01443406
378.1754071,10.99993406
379.0081571,11.20202131
382.1159071,11.29810977
382.1676571,11.22985977
382.9486571,11.33011323
383.0004071,10.98186323
383.7726571,11.28802156
383.8674071,11.06277156
384.1046571,10.90002156
384.3419071,10.73727156
385.1229071,10.86622905
385.7614071,10.52912578
386.0114071,10.23845781
386.3306571,10.31770781
386.3824071,10.32945781
386.5679071,10.23495781
388.5224071,10.78818862
388.5741571,10.79993862
388.9364071,10.65799907
388.9881571,10.56974907
389.1736571,10.65524907
390.0064071,10.73843356
390.0709071,10.24720478
390.3405128,9.964516012
390.5641571,9.788160294
392.3331571,9.78644527
392.7169071,9.67019527
392.7686571,9.58194527
392.9541571,9.58744527
393.2734071,9.668443807
393.3251571,9.660193807
393.6356571,9.510693807
396.6299071,10.3173038
396.6816571,10.3290538
396.7334071,10.2408038
398.6361571,10.38640083
401.5914071,11.41021429
401.6431571,11.34196429
404.6979071,12.19185682
404.7496571,12.06360682
406.3459071,12.64190555
406.3976571,12.57365555
406.4494071,12.48540555
406.5529071,12.32890555
407.4676571,12.30623563
409.0941571,12.17098416
410.9881571,12.38764168
412.9124071,12.29746587
413.0891571,12.07421587
413.6456571,12.07071587
415.6734071,11.82838861
416.6399071,11.76378227
416.8684071,11.59228227
417.3731571,11.42127081
419.7591571,12.05097842
420.8809071,12.18432403
422.2096571,12.07331676
422.9301571,12.07223729
423.9786571,12.0486736
424.9666571,12.26780518
425.0916571,12.07280518
425.7389071,12.16005518
427.0159071,12.27803963
427.0676571,11.92635799
427.2444071,11.82310799
427.4816571,11.82035799
427.7189071,11.65760799
427.9561571,11.57485799
429.2721571,12.09650052
431.4126571,11.92369244
431.4644071,11.83544244
431.6406571,11.75169244
431.8779071,11.58894244
433.0601571,11.50903205
433.2359071,2.844650186
433.6371571,3.225900186
433.7104071,3.279150186
434.5861571,4.094900186
434.6594071,4.148150186
435.5351571,4.963900186
438.5811571,7.551236925
441.5666571,10.15911798
442.0411571,10.59361798
442.5156571,11.02811798
442.5889071,11.08136798
442.8641571,0.866806923
442.9336571,0.916306923
443.7926571,1.628526349
444.1804071,1.936276349
444.5514071,2.267276349
444.6031571,2.299026349
444.7886571,2.464526349
445.0259071,2.661776349
445.2631571,2.859026349
452.2699071,8.271830838
452.4554071,8.437330838
452.8869071,8.808830838
452.9386571,8.840580838
453.1154071,8.997330838
453.4864071,9.328330838
453.5381571,9.360080838
453.7236571,9.525580838
454.5046571,10.18522475
454.5994071,10.23997475
454.8366571,10.43722475
455.0221571,10.60272475
455.2076571,10.76822475
456.0404071,11.42159904
456.1654071,11.52659904
457.3994071,11.66494775
457.7314071,11.34493126
459.2026571,11.05201954
459.2544071,10.98376954
459.5346571,10.59957336
462.9731571,10.34522541
465.4324071,11.10141189
465.4841571,11.09316189
465.5359071,11.08491189
468.5604071,11.70451662
468.6121571,11.55626662
468.7889071,11.41301662
472.8316571,12.63671057
472.8834071,12.54846057
473.6039071,12.68013987
473.9359071,12.15131754
473.9876571,12.08306754
476.0241571,12.06061289
476.0759071,11.97236289
480.5629071,12.22411572
480.6146571,12.07586572
481.4601571,12.15220761
482.7459071,11.96334296
482.9906571,1.26134286
484.2689071,2.408960159
493.2571571,8.951093026
493.5676571,0.964012363
493.6194071,0.995762363
493.8049071,1.161262363
494.0421571,1.358512363
494.4131571,1.689512363
494.4649071,1.721262363
494.6504071,1.886762363
494.9394071,2.135762363
494.9911571,2.167512363
496.3591571,3.313859342
496.4109071,3.345609342
496.8336571,3.708359342
499.7156571,5.974764606
499.9011571,6.140264606
500.1384071,6.337514606
500.5094071,6.668514606
500.7466571,6.865764606
502.7744071,8.454002252
503.0116571,8.651252252
508.7024071,11.88632126
512.1194071,12.04891484
512.8916571,12.36131044
515.8986571,12.0923917
515.9504071,12.0041417
516.1271571,11.9208917
516.3644071,11.83654716
516.6836571,11.83084311
516.7354071,11.74259311
516.7871571,11.67434311
522.6909071,11.56362668
522.7426571,11.47537668
526.1811571,12.12785531
526.3666571,12.03335531
526.4184071,11.96510531
526.6039071,11.87030404
528.8171571,12.29139617
529.3736571,12.13439095
529.8871571,12.22910586
531.1641571,11.9353175
531.4444071,11.5555675
532.0916571,11.38947941
532.2079071,10.98572941
532.4969071,10.85472941
532.7341571,10.67197941
533.6489071,10.98422089
533.7006571,10.91597089
533.8471571,10.51569851
534.0844071,10.43606459
534.1879071,10.27956459
534.9689071,10.10655154
535.1154071,9.85305154
538.6231571,10.24108961
538.7179071,10.11583961
538.9551571,10.11308961
540.8579071,10.41292047
543.5846571,11.53400359
547.2604071,12.40374382
547.3121571,12.21549382
549.6894071,12.18219887
551.7386571,12.39662604
553.1884071,12.47108754
554.3101571,12.39222389
556.8124071,12.8198111
556.8641571,12.7315611
558.3656571,12.76814507
561.3599071,12.70589264
561.4116571,12.63764264
561.5366571,12.48264264
562.8086571,12.6577844
563.3789071,12.56602703
564.9624071,12.62844505
566.8566571,12.94383562
568.3706571,12.48893067
570.2917549,7.433560451
570.6446571,7.766462677
571.4471571,8.508962677
571.5936571,8.635462677
572.3831571,9.364962677
572.5426571,9.504462677
573.3451571,10.24696268
573.4916571,10.37346268
573.5649071,10.42671268
575.2034071,0.707273028
575.2981571,0.742023028
575.5354071,0.939273028
575.8244071,1.188273028
575.8761571,1.220023028
576.1134071,1.437273028
576.3506571,1.634523028
591.1884071,12.76962159
591.2616571,12.56912831
591.4169071,12.32437831
591.7361571,12.23694531
591.7879071,12.24869531
591.9734071,12.15419531
592.2106571,12.15144531
594.1954071,12.30583985
594.3721571,12.06876087
599.3726571,12.27790952
599.4244071,12.04965952
599.6011571,11.82252901
600.3821571,11.96632095
600.6409071,11.81292398
600.6926571,11.74467398
601.4736571,11.73414742
603.6869071,11.92446182
604.1526571,11.73968473
604.2044071,11.67143473
604.3899071,11.57693473
604.6271571,11.41418473
607.1166571,11.69253195
607.3754071,11.50527157
607.4271571,11.41702157
607.4789071,11.32877157
607.6341571,11.08402157
607.7894071,10.84286992
610.5376571,11.00596906
610.5894071,10.93771906
610.6929071,10.76121906
610.8999071,10.50821906
611.0551571,10.44346906
611.4779071,10.27616305
612.1251571,10.59112935
612.1769071,10.28287935
612.3536571,10.19962935
613.1864071,10.2131538
613.2381571,9.944903803
613.6004071,10.0271538
614.7387643,0.42803626
615.6447643,1.27403626
616.4472643,2.01653626
616.6292643,2.17853626
617.1037643,2.61303626
617.5782643,3.04753626
618.3807643,3.79003626
618.5272643,3.91653626
619.0017643,4.35103626
619.0750143,4.40428626
619.4762643,4.78553626
620.2975143,5.54678626
620.4440143,5.67328626
627.8246571,1.427365948
628.1136571,1.676365948
628.3509071,1.873615948
631.3239071,4.190740938
631.5094071,4.356240938
631.7984071,4.605240938
632.0356571,4.802490938
632.2729071,4.999740938
632.6439071,5.330740938
632.6956571,5.362490938
633.1184071,5.725240938
633.1701571,5.756990938
633.5411571,6.087990938
633.9639071,6.450740938
641.0741571,11.17728515
641.3846571,11.00778515
643.2356571,11.64337702
643.2874071,11.63512702
644.0596571,11.80618475
644.9569071,11.97693424
645.0086571,11.90868424
645.0604071,11.92043424
645.2459071,11.90593424
646.1606571,12.22602446
646.2856571,12.08402237
646.5229071,11.90405993
646.5746571,11.83580993
647.0794071,11.65608423
647.1311571,11.58783423
648.3134071,11.68896633
648.4901571,11.42571633
649.9399071,11.70300678
650.6516571,11.34462488
654.4786571,11.69951965
654.7071571,11.51027215
654.9444071,11.33059152
656.2604071,11.68863198
656.3121571,11.46038198
657.3129071,11.29346228
657.3646571,11.22521228
657.6751571,11.18222894
658.1886571,11.25572894
658.3351571,11.00222894
658.5724071,10.83947894
659.3534071,11.12811585
660.6304071,10.83280099
661.3636571,10.52297673
662.1964071,10.70519082
663.5554071,10.47028264
663.6804071,10.19528264
663.7321571,10.10703264
663.9176571,10.02441221
664.2369071,10.10366221
664.2886571,10.11541221
664.4741571,10.0157867
664.7114071,10.0292814
664.9184071,9.776281395
665.1039071,9.701781395
665.3411571,9.539031395
665.6301571,9.608031395
666.9461571,10.22093901
667.1961571,9.770939013
667.2479071,9.782689013
668.2144071,10.14753323
668.2661571,9.959283233
670.0479071,10.00941324
670.2917549,9.793261015
671.6871571,9.941447667
671.7389071,9.953197667
672.6664071,9.609652199
672.8731571,6.020440314
672.9464071,6.073690314
674.2966571,7.323940314
674.3699071,7.377190314
675.3111571,8.258440314
675.7576571,8.664940314
675.8309071,8.718190314
676.5149071,9.362190314
676.7066571,9.533940314
676.7799071,9.587190314
677.1811571,9.968440314
677.4777977,0.63153626
677.5295477,0.66328626
677.7150477,0.82878626
677.9522977,1.02603626
678.4962977,1.49003626
679.3115477,2.18528626
679.3632977,2.21703626
679.5487977,2.38253626
679.7860477,2.57978626
680.2249009,2.958639446
680.3942977,3.10803626
680.8687977,3.50253626
681.2397977,3.83353626
683.7507977,5.797743696
684.0915477,6.078493696
684.5660477,6.492993696
684.6177977,6.524743696
685.1959071,7.04285309
685.4115477,7.218493696
690.5155477,10.89368784
690.8172977,10.67543784
691.6500477,10.997266
691.7145477,10.68969739
693.2072977,10.44545093
694.4842977,10.60411345
694.5360477,10.59586345
694.7732977,10.59311345
698.3327977,11.39964126
699.8987977,11.18064404
700.1360477,11.01789404
700.3732977,10.85514404
708.2645477,12.76651768
708.3162977,12.53826768
708.4930477,12.31501768
708.7302977,12.23226768
709.0495477,12.15316429
709.1012977,12.08491429
711.2197977,12.34882362
711.2715477,12.14057362
711.3662977,11.91532362
714.8222977,12.68289313
714.8740477,12.45464313
714.9687977,12.14939313
717.9506571,1.271000741
718.0239071,1.324250741
718.9729071,2.193250741
719.3741571,2.574500741
719.4474071,2.627750741
719.9219071,3.062250741
720.3405128,3.460856459
720.4072814,3.507625043
720.7976571,3.878000741
720.8709071,3.931250741
728.9286571,10.96409615
729.6971571,10.35832743
730.6801571,11.32132743
732.0101571,12.59132743
732.1869071,12.72807743
732.3724071,12.87357743
735.8384071,15.39382511
736.6194071,6.102000487
736.6711571,6.113750487
736.8996571,6.302250487
737.1369071,6.499500487
737.5079071,6.830500487
737.7451571,7.027750487
738.0341571,7.276750487
738.5604071,7.723000487
738.7976571,7.920250487
739.1686571,8.251250487
739.4059071,8.448500487
739.4576571,8.480250487
739.8804071,8.843000487
740.0659071,9.008500487
740.4886571,9.371250487
740.7776571,9.600250487
742.8054071,10.24631855
743.9789071,10.0837059
744.1644071,9.989205902
745.1309071,10.14560165
745.1826571,9.917351651
746.3561571,10.0850448
746.5846571,9.953544803
746.6364071,9.945294803
746.8434071,9.852294803
750.8989071,11.09409442
751.5461571,11.50757249
751.6079071,11.14932249
751.7934071,11.21482249
752.5744071,11.20014778
753.6961571,11.29015636
753.7479071,11.20190636
753.8729071,11.14690636
759.4299071,11.93873618
759.4816571,11.85368497
760.7371571,11.7969878
760.9656571,11.79188765
761.2849071,11.72229597
761.3366571,11.63404597
762.6654071,11.50926453
762.7171571,11.42101453
763.0364071,11.50268909
766.3586571,12.02562631
767.6054071,11.75601047
767.8426571,11.75326047
770.9491571,11.96760211
771.0009071,11.89935211
771.1259071,11.90435211
771.9586571,11.94357333
772.0836571,11.74857333
772.7309071,11.83582333
773.0414071,11.90632333
774.2881571,11.82345078
774.4434071,11.66128315
776.7904071,11.41242257
777.1096571,11.34736811
777.1614071,11.25911811
778.6844071,11.34727514
778.8699071,11.41277514
778.9216571,11.34452514
779.1071571,11.41002514
779.3444071,11.24727514
780.5266571,11.2430482
781.7921571,11.05858146
785.1661571,11.66127596
785.2609071,11.39602596
787.0514071,11.95645334
787.2886571,11.80391327
789.2734071,12.18552788
789.3251571,12.09727788
791.9181571,12.51817199
791.9699071,12.42992199
792.0949071,12.29492199
792.3321571,12.13217199
792.5694071,12.04942199
792.6211571,11.96117199
792.8066571,11.88667199
793.0439071,11.82392199
794.4116571,12.11041927
794.5366571,11.83817405
794.7221571,11.74367405
795.9561571,11.51078625
797.3366571,11.48629638
797.4314071,11.18104638
798.7474071,11.40335724
798.8724071,11.24835724
799.0579071,11.18025571
801.5171571,11.26171318
802.5656571,11.23566947
805.3959071,12.11371227
805.5209071,11.83295233
807.0136571,11.90205072
810.5429071,12.24755481
811.7164071,12.46768569
812.2211571,12.43439412
813.3644071,12.21583363
813.4161571,12.16758363
813.5714071,12.00283363
813.7266571,11.73808363
814.6414071,11.93479933
814.6931571,11.26654933
814.8309071,11.08216272
815.0681571,10.93202928
815.2536571,10.83752928
815.4909071,10.67477928
816.9924071,10.8817392
818.5154071,10.76760445
818.8259071,10.68402242
821.8201571,0.714497011
822.5129464,1.32728626
822.9141964,1.70853626
824.3731964,3.04753626
824.4464464,3.10078626
824.8476964,3.48203626
824.9209464,3.53528626
825.6501964,4.22453626
825.7966964,4.35103626
829.8521964,7.858914208
830.3405128,8.307230678
830.4072814,8.353999261
830.8011964,8.727914208
832.0234071,9.850124959
832.2246964,10.03141421
833.0114071,10.75812496
833.1554071,0.398171473
833.3926571,0.595421473
833.6299071,0.792671473
833.8671571,0.989921473
834.1044071,1.187171473
834.3934071,1.416171473
834.5789071,1.581671473
837.3461964,3.726522615
837.5821571,3.942483365
839.6314071,5.555764721
839.8169071,5.721264721
840.0024071,5.886764721
840.2396571,6.084014721
840.4769071,6.281264721
840.6624071,6.446764721
840.8479071,6.612264721
841.0851571,6.809514721
841.5899071,7.22993294
841.6416571,7.26168294
841.8271571,7.42718294
841.8789071,7.45893294
842.0644071,7.62443294
842.3016571,7.82168294
842.4871571,7.98718294
842.6726571,8.15268294
846.4821571,10.38933392
846.5466571,9.863095001
849.1699071,10.03499611
849.8084071,10.43794315
849.8601571,9.86969315
852.6036571,10.19355786
852.8106571,10.02055786
856.5684071,10.68255496
856.6934071,10.55091907
856.7451571,10.56266907
856.9306571,10.64816907
857.0859071,10.64341907
857.3231571,10.48770966
865.8441571,12.54900987
866.9659071,12.5961367
867.7294071,12.1404371
867.8241571,11.71265659
869.9944071,12.48293888
870.0461571,12.39468888
871.2196571,12.64589919
871.9099071,12.13029663
872.0866571,11.90704663
872.3239071,11.74429663
872.5094071,11.66979663
873.035198,0.42803626
873.539948,0.89278626
874.049948,1.36278626
874.123198,1.41603626
874.852448,2.10528626
874.998948,2.23178626
875.473448,2.66628626
877.923948,4.794749833
877.997198,4.847999833
878.398448,5.229249833
878.471698,5.282499833
883.8834071,10.02412079
883.937948,10.05866164
884.412448,10.49316164
884.886948,10.92766164
884.960198,10.98091164
885.6459071,11.62662079
885.835948,11.79666164
885.909198,11.84991164
886.651198,12.51584573
887.526948,13.33159573
887.600198,13.38484573
888.3209071,12.69941944
888.5369071,3.497038478
888.7741571,3.694288478
