endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20250330-01:17:59-13444),
197.8453498,21.10462322
198.4320998,21.01750196
200.3563498,21.44011645
200.4080998,21.43186645
203.1535998,21.77061436
203.2053498,21.70236436
203.3908498,21.76786436
204.6463498,22.34377812
204.6980998,22.27552812
205.0173498,22.19553203
205.0690998,22.10728203
205.1208498,22.01903203
205.1725998,22.03078203
205.3580998,22.09628203
205.4098498,22.02803203
205.5953498,22.11353203
205.6470998,22.10528203
205.8325998,22.19078203
205.8843498,22.18253203
205.9360998,22.19428203
206.9368498,22.15727951
207.1223498,22.22277951
207.1740998,22.15452951
207.3595998,22.06002951
207.4113498,21.99177951
210.1380998,22.73167043
210.7435998,22.65000292
211.5165998,22.63782761
211.5683498,22.54957761
211.7538498,22.63507761
211.8055998,22.54682761
211.9910998,22.47232761
212.5778498,22.51150277
212.7633498,22.41798768
213.3500998,12.89254945
213.6693498,13.19179945
213.8548498,13.35729945
214.8428498,14.2195469
215.1620998,14.5187969
215.8005998,15.1172969
218.1993498,17.21140679
218.7860998,17.77815679
218.8378498,17.80990679
219.1570998,18.10915679
219.6100998,18.50215679
219.9293498,18.80140679
220.2183498,19.03040679
220.8453498,19.59740679
221.4320998,20.12415679
221.7513498,20.42340679
223.9173498,21.04625626
224.9053498,13.07982158
225.0908498,13.24532158
225.2763498,13.39082158
225.6473498,13.68182158
225.9665998,13.94107158
226.2858498,14.24032158
226.8725998,14.74707158
227.1098498,14.94432158
227.1615998,14.97607158
227.3470998,15.14157158
227.5325998,15.26707158
227.9855998,15.66007158
228.1710998,15.80557158
229.3445998,16.7269139
229.5818498,16.9441639
229.9010998,17.2034139
230.1383498,17.4006639
231.2485998,18.33337387
231.3003498,18.36512387
235.0063498,20.99093071
235.7268498,21.26005133
236.4473498,21.50905055
236.4990998,21.52080055
237.0858498,21.66978313
237.1375998,21.68153313
237.3230998,21.68703313
237.3748498,21.67878313
238.2290998,21.92272443
238.4145998,21.92822443
238.4663498,21.91997443
238.5180998,21.93172443
238.5698498,21.92347443
238.8890998,22.01503928
238.9408498,21.92678928
239.6613498,21.92196547
241.9665998,22.3602429
242.0183498,22.2719929
242.2038498,22.3574929
242.2555998,22.2692429
242.8423498,22.27497677
242.8940998,22.18672677
243.0795998,22.1808888
243.1313498,22.1126388
243.3168498,22.0981388
243.5023498,22.0636388
243.5540998,21.84366127
245.2108498,21.75362149
247.1350998,22.00876652
247.1868498,21.92051652
247.3723498,21.84601652
247.4240998,21.75776652
250.1508498,22.57630747
250.4700998,22.50521029
250.5405998,22.43571029
250.7260998,22.43454809
250.7778498,22.34629809
252.1670998,22.60104957
252.2188498,22.59279957
252.5380998,22.68404921
253.2585998,22.67673909
253.9790998,22.82723378
254.0308498,22.75898378
254.0825998,22.67073378
254.1343498,22.68248378
254.1860998,22.67423378
254.3715998,22.67973378
254.4233498,22.67148378
254.4750998,22.60323378
254.5268498,22.59498378
254.5785998,22.58673378
254.6303498,22.51848378
254.6820998,22.51023378
254.7338498,22.52198378
254.7855998,22.51373378
255.6398498,22.41785083
255.6915998,22.34960083
255.8770998,22.27510083
256.1963498,22.25851644
256.2480998,22.19026644
256.4335998,22.09576644
256.4853498,22.02751644
256.6708498,21.93301644
256.8563498,21.59851644
257.0418498,21.38401644
258.4310998,21.6219604
258.7503498,21.5380201
259.0695998,21.44788515
259.1213498,21.37963515
261.1980998,21.57776969
261.2498498,21.50951969
261.4353498,21.41501969
261.4870998,21.34676969
261.6725998,21.25226969
261.9918498,21.11906109
262.0435998,20.85081109
262.0953498,20.58256109
262.1470998,20.37431109
262.1988498,20.28606109
263.7218498,20.82789375
264.0410998,20.86714375
264.8953498,21.46930159
265.0808498,21.59480159
265.1325998,21.50655159
265.1843498,21.43830159
265.5035998,21.4851531
265.6890998,21.4106531
266.0083498,21.42564802
266.0600998,14.30764118
266.5648498,14.79239118
267.0695998,15.25714118
267.7900998,15.93764118
268.6960998,16.74364118
269.0153498,17.04289118
269.6020998,17.58964118
269.6538498,17.62139118
270.1068498,18.05439118
270.9495998,18.79714118
271.2688498,19.09639118
271.7218498,19.50939118
271.7735998,19.54114118
272.2265998,19.97414118
272.9995998,20.70714118
274.3105998,11.77610821
274.4960998,11.94160821
274.5995998,11.98510821
274.7850998,12.15060821
274.8885998,12.21410821
275.0740998,12.33960821
275.2595998,12.50510821
276.6185998,13.60183618
277.0715998,13.99483618
277.1233498,14.02658618
277.4943498,14.35758618
277.8653498,14.66858618
278.0508498,14.81408618
278.2363498,14.95958618
278.4735998,15.15683618
278.7108498,15.319033
278.8963498,15.484533
279.4010998,15.909283
279.5865998,16.034783
279.7720998,16.200283
279.8238498,16.232033
280.3285998,16.676783
280.3803498,16.708533
280.5845998,16.892783
281.0375998,17.265783
281.1410998,17.349283
281.3265998,17.494783
281.5638498,17.712033
281.6673498,17.775533
284.1480998,19.21729554
284.1998498,19.12904554
285.6925998,19.67667542
285.7443498,19.68842542
285.9298498,19.75392542
286.1153498,19.57942542
286.3008498,19.66492542
286.7538498,19.69792542
286.9393498,19.68342542
286.9910998,19.61517542
287.1765998,19.68067542
287.8150998,19.85239148
290.8280998,20.94203453
290.8798498,20.85378453
293.6065998,21.92994611
293.6583498,21.84169611
293.8438498,21.84719611
293.8955998,21.83894611
294.9353498,21.99281319
294.9870998,21.92456319
295.5738498,21.92591293
295.6255998,21.91766293
295.8110998,21.92316293
296.9328498,21.99455318
297.6533498,22.24020394
297.7050998,22.25195394
300.8518498,22.8193774
300.9035998,22.7511274
302.4265998,22.67490061
302.6120998,22.60040061
302.6638498,22.51215061
302.8493498,22.59765061
303.1685998,22.50786062
303.2203498,22.43961062
303.4058498,22.34511062
303.4575998,22.27686062
303.5093498,22.18861062
303.6948498,22.10557807
303.7465998,22.01732807
303.7983498,21.94907807
304.7863498,21.85881576
304.8380998,21.85056576
304.8898498,21.86231576
304.9415998,21.77406576
304.9933498,21.76581576
305.0450998,21.77756576
308.9755998,22.26560242
310.7848498,22.37119176
310.9703498,22.27669176
311.0220998,22.20844176
311.2075998,22.12971871
311.2593498,22.04146871
311.4448498,21.96696871
311.4965998,21.87871871
311.6820998,21.80421871
312.5363498,21.883615
312.5880998,21.795365
312.8260998,21.76120853
313.0115998,21.6761651
313.0633498,21.6079151
313.2488498,21.52657509
313.3005998,21.51832509
313.4860998,21.49736969
313.5378498,21.50911969
315.1945998,22.3916794
315.2463498,22.3834294
315.5655998,22.5226794
315.6173498,22.5144294
315.9365998,13.32761491
315.9883498,13.35936491
326.7790998,12.7899165
326.9823498,12.9531665
327.3015998,13.2324165
327.6208498,13.5116665
327.8580998,13.7089165
328.0435998,13.8744165
328.2290998,14.0199165
328.4663498,14.1971665
328.7035998,14.3744165
329.0228498,14.6536665
330.0108498,15.4816665
332.1910998,17.23029394
332.3765998,17.35579394
332.5620998,17.50129394
333.0150998,17.89429394
333.0668498,17.92604394
333.2523498,18.07154394
337.3898498,21.30912952
337.4415998,21.26087952
337.6270998,21.34637952
337.9463498,21.34562952
338.8005998,21.6632518
339.1198498,21.74307529
339.1715998,21.75482529
339.3570998,21.74032529
339.4088498,21.75207529
339.5943498,21.75757529
341.0238498,21.76842913
341.3430998,21.84767913
343.2673498,22.44612978
345.0578498,22.86647962
345.1095998,22.77822962
345.1613498,22.78997962
345.2130998,22.70172962
346.6238498,22.60887814
346.6755998,22.54062814
346.8610998,22.44612814
346.9128498,22.45787814
350.5945998,23.30313453
350.6463498,23.29488453
350.6980998,23.28663453
350.7498498,23.21838453
351.4703498,23.46308805
351.6558498,23.38437738
351.7075998,23.28813381
351.7593498,23.21988381
351.9448498,23.20185112
351.9965998,23.13360112
355.2583498,23.32858353
355.3100998,23.24033353
357.5018498,23.4842979
357.5535998,23.40175569
357.6053498,23.33350569
357.6570998,23.32525569
357.7088498,23.23700569
357.7605998,23.16875569
357.8123498,23.16050569
357.8640998,23.15225569
357.9158498,23.08400569
357.9675998,23.07575569
358.0193498,23.08750569
359.8098498,23.16492684
359.8615998,23.07667684
360.0470998,22.99408774
360.3663498,22.91333774
360.7043498,22.8415092
360.7560998,22.7732592
360.9415998,22.6787592
361.3945998,22.50381794
361.4463498,22.49556794
361.6318498,22.50414869
361.6835998,22.41589869
361.7353498,22.20764869
362.4558498,22.43446261
362.5075998,22.36621261
362.6930998,22.45171261
363.0123498,22.34518528
363.0640998,22.27693528
363.1158498,22.20868528
363.7025998,22.12573476
367.3655998,22.19376014
368.8885998,22.73592089
368.9403498,22.76767089
368.9920998,22.75942089
369.0438498,22.75117089
369.3630998,22.6830716
369.6823498,22.5856343
371.0903498,22.77839785
371.1420998,22.69014785
371.1938498,22.62189785
371.5130998,22.62010708
371.6985998,22.68560708
371.7503498,22.61735708
372.0695998,22.61660708
376.5350998,23.68281492
376.5868498,23.59456492
376.6385998,23.50631492
378.5628498,23.52368247
380.7733498,23.54160387
380.8250998,23.45335387
380.8768498,23.44510387
380.9285998,23.45685387
380.9803498,23.44860387
381.0320998,23.46035387
381.0838498,23.37210387
381.5368498,23.36924912
381.5885998,23.36099912
381.6403498,23.29274912
381.6920998,23.20449912
383.7500998,23.53718887
384.0693498,23.5383456
384.1210998,23.5300956
384.1728498,23.4618456
385.8295998,23.37264137
386.0150998,23.27814137
386.0668498,23.20989137
387.4560998,23.12185986
387.7753498,23.0368955
388.0945998,23.04260941
388.1463498,23.03435941
388.1980998,23.04610941
388.2498498,22.95785941
388.7028498,22.88737671
388.8883498,22.79287671
389.2075998,22.71212671
389.5268498,22.63137671
389.8460998,22.63062671
390.2990998,22.55296396
391.1720998,22.48777095
393.5995998,11.90903543
393.6513498,11.94078543
394.3415998,12.61103543
394.3933498,12.64278543
394.8463498,13.07578543
396.2268498,14.24013792
396.5460998,14.53938792
396.5978498,14.57113792
397.0508498,15.00413792
397.1025998,15.03588792
397.2578498,15.17113792
397.7108498,15.56413792
398.6685998,16.46188792
398.7203498,16.49363792
399.3070998,17.04038792
399.6780998,17.37138792
400.6545998,18.26788792
401.1075998,18.68088792
401.7158498,19.20913792
402.1688498,19.62213792
402.8635998,20.25688792
403.4503498,20.80363792
403.6358498,19.59088645
405.0465998,12.54054947
405.2320998,12.68604947
405.4175998,12.85154947
405.4693498,12.88329947
406.1595998,13.47354947
406.2113498,13.50529947
411.5323498,17.78834819
411.7178498,17.95384819
411.7695998,17.98559819
412.0888498,18.28484819
412.1405998,18.31659819
412.2440998,18.40009819
412.2958498,18.43184819
412.4813498,18.57734819
412.6668498,18.74284819
413.1198498,19.11584819
413.1715998,19.14759819
413.6763498,19.59234819
413.7280998,19.62409819
413.9135998,19.78959819
414.0990998,19.93509819
414.1508498,19.96684819
414.6038498,20.35984819
416.6618498,21.76042828
416.7135998,21.69217828
416.8990998,21.77767828
416.9508498,21.68942828
417.1363498,21.77492828
418.3098498,21.60667681
418.4953498,21.51217681
420.0183498,21.43783432
422.7638498,21.94890852
422.8155998,21.96065852
423.0010998,21.94615852
423.0528498,21.95790852
423.2383498,21.94340852
423.2900998,21.95515852
423.4755998,21.96065852
425.2660998,22.51691478
425.3178498,22.52866478
425.3695998,22.52041478
426.7588498,22.85383125
427.3455998,22.76947491
427.6648498,22.68872491
427.8503498,22.61422491
427.9020998,22.52597491
428.6225998,22.69071346
428.6743498,22.68246346
430.6173498,22.94917106
431.6053498,22.86876667
432.0583498,22.8750398
432.9125998,22.79625941
432.9643498,22.70800941
433.5510998,22.63317993
434.6728498,22.70286625
434.7245998,22.71461625
435.0438498,22.79048997
435.4968498,22.87799783
435.6823498,22.78349783
435.7340998,22.71524783
435.9195998,22.62074783
435.9713498,22.55249783
436.1568498,22.45799783
437.4123498,22.63448228
437.5978498,22.53655063
437.6495998,22.46830063
437.8350998,22.37380063
437.8868498,22.30555063
437.9385998,22.21730063
437.9903498,22.20905063
438.0420998,22.14080063
438.2275998,22.04630063
438.2793498,21.97805063
439.2673498,22.21169316
439.3190998,22.14344316
441.9308498,22.32188509
441.9825998,22.23363509
442.1680998,22.15913509
442.2198498,22.07088509
442.2715998,21.98263509
443.7133498,22.2622247
443.7650998,11.83734686
443.8685998,11.92084686
445.0420998,13.00276181
445.6288498,13.52951181
446.0818498,13.96251181
446.5563498,14.37701181
457.1060998,12.96802348
457.2915998,13.11352348
458.0120998,13.67266739
458.3313498,13.95191739
458.6505998,14.23116739
458.8360998,14.39666739
459.7420998,15.10329168
461.4605998,16.36614039
461.6978498,16.54339039
461.8833498,16.70889039
461.9868498,16.77239039
462.1723498,16.91789039
462.2758498,16.98139039
462.4613498,17.12689039
462.7805998,17.38614039
463.2335998,17.79914039
463.2853498,17.83089039
463.4708498,17.97639039
463.6563498,18.12189039
464.1093498,18.51489039
464.2948498,18.64039039
464.6140998,18.93964039
464.7995998,19.08514039
464.8513498,19.11689039
465.0368498,19.26239039
467.0860998,20.37962391
468.6305998,20.45996219
468.6823498,20.37171219
468.7340998,20.28346219
468.7858498,20.29521219
469.1050998,20.130016
469.2905998,20.095516
469.3423498,20.087266
469.6615998,20.166516
469.9808498,20.165766
473.1275998,21.3082013
473.1793498,21.2399513
476.5748498,22.30385454
476.6265998,22.21560454
476.6783498,22.12735454
477.2650998,22.06083872
479.1893498,22.21345926
479.5085998,22.21270926
483.4578498,23.32290322
483.5095998,23.25465322
483.9625998,23.17883252
484.0143498,23.09058252
484.0660998,23.00233252
484.2515998,22.93237306
484.7045998,22.84001019
486.0938498,22.9239983
486.5468498,22.84330553
486.7323498,22.76880553
486.7840998,22.68055553
490.3133498,22.93174549
490.3650998,22.84349549
490.4168498,22.75524549
490.4685998,22.68699549
490.9403498,22.62155836
490.9920998,22.53330836
491.9800998,22.61215026
492.0318498,22.52390026
492.4848498,22.45385154
493.0715998,22.3690356
494.5945998,22.29408841
494.7800998,22.19958841
494.8318498,22.13133841
495.4185998,22.19757848
495.4703498,22.12932848
495.6558498,22.19482848
495.7075998,22.20657848
495.8930998,22.21207848
495.9448498,22.12382848
496.9328498,22.11628853
496.9845998,22.04803853
497.3038498,21.96028756
497.4893498,21.96578756
497.5410998,21.87753756
497.7265998,21.78642288
497.7783498,21.79817288
497.9638498,21.80367288
498.0155998,21.79542288
498.2010998,21.71026966
498.2528498,21.62201966
498.3045998,21.55376966
499.9613498,21.47097729
500.0130998,21.38272729
500.0648498,21.29447729
500.1165998,21.22622729
500.1683498,21.13797729
500.2200998,21.04972729
500.2718498,20.98147729
500.3235998,20.89322729
500.3753498,20.80497729
500.4270998,20.73672729
500.4788498,20.72847729
500.6830998,20.83272729
500.7348498,20.82447729
500.7865998,20.75622729
501.6408498,20.82728095
502.2275998,20.83828551
502.2793498,20.83003551
502.3310998,20.74178551
502.3828498,20.67353551
502.4345998,20.5746528
502.4863498,20.5864028
504.2768498,20.59112784
504.4623498,20.45662784
504.7815998,20.51553567
504.8333498,20.44577262
505.1525998,20.37320551
510.7593498,21.83839446
510.8110998,21.75014446
512.0665998,12.09610748
512.2520998,12.26160748
512.8388498,12.82835748
512.9423498,12.91185748
513.4383498,13.38785748
513.6238498,13.55335748
514.2623498,14.17185748
514.3140998,14.20360748
514.9503498,14.81985748
515.0020998,14.85160748
515.4550998,15.28460748
518.2335998,17.70325309
518.6865998,18.09625309
519.0058498,18.39550309
519.3768498,18.70650309
520.2310998,19.48075309
520.7028498,19.91250309
521.0220998,20.21175309
521.0738498,20.24350309
521.3930998,20.54275309
521.5785998,20.70825309
521.8978498,21.00750309
522.3508498,21.40050309
522.8038498,21.81350309
523.4808498,11.35006243
523.6840998,11.53331243
523.9730998,11.80231243
524.0248498,11.83406243
524.2103498,11.99956243
528.2570998,15.0905116
529.1845998,15.76262337
529.6590998,16.15712337
529.8445998,16.30262337
530.1638498,16.56187337
530.3493498,16.72737337
532.0248498,18.11154795
532.0765998,18.14329795
532.2620998,18.30879795
532.5813498,18.58804795
532.7668498,18.73354795
532.9523498,18.87904795
533.0040998,18.91079795
533.5908498,19.43754795
533.6425998,19.46929795
534.0135998,19.82029795
534.3845998,20.13129795
534.7038498,20.43054795
535.1568498,20.22324668
536.8135998,20.46783882
536.9990998,20.47333882
537.1845998,20.41883882
538.1725998,20.8333336
538.4918498,20.6337985
538.5435998,20.6455485
540.8058498,21.47701015
540.8575998,21.46876015
540.9093498,21.40051015
540.9610998,21.39226015
541.0128498,21.30401015
541.0645998,21.31576015
541.1163498,21.22751015
541.1680998,21.151902
541.3535998,21.07142205
541.4053498,20.98317205
541.4570998,20.99492205
541.5088498,20.90667205
541.5605998,20.89842205
541.6123498,20.63017205
541.7978498,20.57567205
541.9833498,20.40117205
542.4363498,20.43417205
542.4880998,20.42592205
542.5398498,20.43767205
543.1783498,20.51366354
543.3638498,20.59916354
543.4155998,20.51091354
543.7348498,20.68339115
543.7865998,20.59514115
543.8383498,20.58689115
543.8900998,20.59864115
544.3430998,20.67475723
544.5285998,20.68025723
544.5803498,20.67200723
545.1670998,20.58474419
545.3525998,20.37024419
545.4043498,20.16199419
545.4560998,20.11374419
548.8515998,20.66953225
548.9033498,20.60128225
549.0888498,20.60678225
549.1405998,20.51853225
549.3260998,20.44403225
549.3778498,20.35578225
551.5883498,21.36615341
554.3150998,22.26444624
554.3668498,22.25619624
554.4185998,22.26794624
554.4703498,22.17969624
554.5220998,22.17144624
554.5738498,22.18319624
554.6255998,22.09494624
554.6773498,22.00669624
554.7290998,22.01844624
554.7808498,22.01019624
554.8325998,22.02194624
557.5593498,22.84268647
557.6110998,22.75443647
557.7965998,22.67993647
560.1220998,22.59489152
560.1738498,22.50633817
562.1168498,22.93481869
563.6923498,23.03503019
563.7440998,23.04678019
565.1333498,23.35541654
565.7200998,23.54216654
566.5743498,14.2603877
566.6260998,14.2921377
